,id,title,description,release_year,genres,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,tags
3210,tm1119015,Love Like the Falling Petals,"Haruto Asakura falls in love with hairdresser Misaki Ariake and asks her out. Watching Misaki Ariake work hard to achieve what she wants, Haruto Asakura, who almost gave up his dream to become a photographer, begins to pursue his dream again, but Misaki Ariake is diagnosed with a disease that ages her 10x faster than normal.",2022,"['drama', 'romance']",6.3,424.0,132.561,8.0,KentoNakajima HonokaMatsumoto,"haruto asakura falls in love with hairdresser misaki ariake and asks her out. watching misaki ariake work hard to achieve what she wants, haruto asakura, who almost gave up his dream to become a photographer, begins to pursue his dream again, but misaki ariake is diagnosed with a disease that ages her 10x faster than normal. kentonakajima honokamatsumoto"
3211,tm1106900,A World Without,"Founded by the power couple, Ali and Sofia Khan, The Light is a training center that claims to be a self-betterment organization, focused on helping youths take charge of their life for a brighter future. But when three best friends join this organization, they soon realize that dark shadows lurk behind The Light and must find a way to escape.",2021,"['thriller', 'drama', 'scifi']",3.8,357.0,8.186,4.5,AmandaRawles Maizura AsmaraAbigail ChiccoJerikho AyushitaNugraha JeromeKurnia DiraSugandi JokoAnwar RichardKyle ShalomRazade DimasDanang TatyanaAkman GalabbyThira OlgaLydia MelissaKarim JeffryThung WillemBevers SantosaAmin SriSulansih AaronHart Susilawati AndriCung,"founded by the power couple, ali and sofia khan, the light is a training center that claims to be a self-betterment organization, focused on helping youths take charge of their life for a brighter future. but when three best friends join this organization, they soon realize that dark shadows lurk behind the light and must find a way to escape. amandarawles maizura asmaraabigail chiccojerikho ayushitanugraha jeromekurnia dirasugandi jokoanwar richardkyle shalomrazade dimasdanang tatyanaakman galabbythira olgalydia melissakarim jeffrythung willembevers santosaamin srisulansih aaronhart susilawati andricung"
3212,tm1024535,The Guardian,"After the shocking suicide of a young pop star, her backup singer finds herself living a parallel life. But is her success earned, or is it being aided by occult forces?",2021,"['drama', 'horror', 'music', 'thriller', 'crime']",5.7,347.0,2.932,4.9,TrúcAnh Amee Salim SamuelAn,"after the shocking suicide of a young pop star, her backup singer finds herself living a parallel life. but is her success earned, or is it being aided by occult forces? trúcanh amee salim samuelan"
3213,tm1039571,The Upshaws - The Afterparty,"The comedic dream team from ""The Upshaws"" discuss the hit series, share some anecdotes from their own upbringings and play a little swag-centric game.",2021,[],,,1.878,7.7,DavidSpade LondonHughes FortuneFeimster,"the comedic dream team from ""the upshaws"" discuss the hit series, share some anecdotes from their own upbringings and play a little swag-centric game. davidspade londonhughes fortunefeimster"
3214,tm1054462,The Land,"In contemporary Poland, people from different social classes face apparently common situations that end up making them mad.",2021,"['comedy', 'drama', 'crime']",6.1,473.0,1.627,5.6,KrzysztofStroiński RemigiuszJankowski TomaszWłosok JuliaAdamczyk PawelAdamczyk ViolettaArlak KamilBalicki BartłomiejNowosielski GrażynaBarszczewska DariaPolasik,"in contemporary poland, people from different social classes face apparently common situations that end up making them mad. krzysztofstroiński remigiuszjankowski tomaszwłosok juliaadamczyk paweladamczyk violettaarlak kamilbalicki bartłomiejnowosielski grażynabarszczewska dariapolasik"
3215,tm1043655,One Lagos Night,"A desperate man attempts to burglarize the home of a wealthy woman, but finds himself face-to-face with a crew of armed robbers who have the same idea.",2021,"['crime', 'comedy']",6.6,17.0,1.834,,FrankDonga,"a desperate man attempts to burglarize the home of a wealthy woman, but finds himself face-to-face with a crew of armed robbers who have the same idea. frankdonga"
3216,tm1161223,Cat Burglar,"In this edgy, over-the-top, interactive trivia toon, answer correctly to help Rowdy the Cat evade Peanut the Security Pup to steal some prized paintings.",2022,"['animation', 'comedy']",6.9,,2.472,5.9,AlanLee JamesAdomian TrevorDevall ElyseWillis,"in this edgy, over-the-top, interactive trivia toon, answer correctly to help rowdy the cat evade peanut the security pup to steal some prized paintings. alanlee jamesadomian trevordevall elysewillis"
3217,tm1107850,Sharkdog’s Fintastic Halloween,"The Sharkpack gets ready for Halloween with the spooky legend of the ""Fearsome Fog"" — and Sharkdog must save trick-or-treating from a slimy sea monster!",2021,"['animation', 'fantasy', 'family', 'comedy']",6.5,37.0,37.687,3.4,LiamMitchell DeeBradleyBaker GreyDeLisle JoshMcDermitt KariWahlgren,"the sharkpack gets ready for halloween with the spooky legend of the ""fearsome fog"" — and sharkdog must save trick-or-treating from a slimy sea monster! liammitchell deebradleybaker greydelisle joshmcdermitt kariwahlgren"
3218,tm1111616,David and the Elves,"Christmas is drawing near, but it’s not a happy time for David. After moving to a big city, his parents have been bogged down with work and forgotten the meaning of Christmas. David decides to change that. Together with Albert the Elf, who escaped from the land of Santa to figure out what Christmas is all about, David sets off to Tatra Mountains, where his grandparents live, on a journey full of adventures.",2021,"['fantasy', 'comedy', 'family']",5.2,695.0,51.053,6.1,JakubZając CyprianGrabowski AnnaSmołowik MichałCzernecki MonikaKrzywkowska CezaryŻak PiotrRogucki ElżbietaJarosik WitoldDębicki MajaWolska,"christmas is drawing near, but it’s not a happy time for david. after moving to a big city, his parents have been bogged down with work and forgotten the meaning of christmas. david decides to change that. together with albert the elf, who escaped from the land of santa to figure out what christmas is all about, david sets off to tatra mountains, where his grandparents live, on a journey full of adventures. jakubzając cypriangrabowski annasmołowik michałczernecki monikakrzywkowska cezaryżak piotrrogucki elżbietajarosik witolddębicki majawolska"
3219,tm1068632,Bartkowiak,"After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub — and soon learns his sibling's death wasn’t an accident.",2021,"['action', 'thriller', 'crime', 'sport']",5.1,1205.0,62.624,6.2,JózefPawłowski ZofiaDomalik SzymonBobrowski BartłomiejTopa JanuszChabior RafałZawierucha AntoniPawlicki CezaryŁukaszewicz DanutaStenka JanFrycz DamianMajewski PiotrWitkowski MichalKrzyzkowiak MichałKarmowski KatarzynaHerman JerzySchejbal DariuszJakubowski MariuszBonaszewski ElżbietaJarosik LechDyblik BartoszObuchowicz WojciechMajchrzak NorbertKaczorowski BartłomiejKrat RomanBugaj MonikaMiller EugeniaGrabizna PawełKowalczyk JoannaKocyla ArturGrabowiec MichałPluskota PawełJusiński MaksymilianMichasiów BarryMulkerns MichałKubiak ArkadiuszJędraczka MichałZieliński,"after his brother dies in a car crash, a disgraced mma fighter takes over the family nightclub — and soon learns his sibling's death wasn’t an accident. józefpawłowski zofiadomalik szymonbobrowski bartłomiejtopa januszchabior rafałzawierucha antonipawlicki cezaryłukaszewicz danutastenka janfrycz damianmajewski piotrwitkowski michalkrzyzkowiak michałkarmowski katarzynaherman jerzyschejbal dariuszjakubowski mariuszbonaszewski elżbietajarosik lechdyblik bartoszobuchowicz wojciechmajchrzak norbertkaczorowski bartłomiejkrat romanbugaj monikamiller eugeniagrabizna pawełkowalczyk joannakocyla arturgrabowiec michałpluskota pawełjusiński maksymilianmichasiów barrymulkerns michałkubiak arkadiuszjędraczka michałzieliński"
