,Unnamed: 0,id,title,description,release_year,genres,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,tags
1379,1379,ts287976,Young Royals,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.",2021,"['drama', 'romance']",8.3,29025.0,43.342,8.8,EdvinRyding OmarRudberg MalteGårdinger NikitaUggla FridaArgento NathalieVarli FabianPenje FeliciaTruedsson CarmenGloria IngelaOlsson NilsWetterholm SamuelAstor UnoElger MimmiCyon,"prince wilhelm adjusts to life at his prestigious new boarding school, hillerska, but following his heart proves more challenging than anticipated. edvinryding omarrudberg maltegårdinger nikitauggla fridaargento nathalievarli fabianpenje feliciatruedsson carmengloria ingelaolsson nilswetterholm samuelastor unoelger mimmicyon"
1380,1380,ts225657,Halston,American fashion designer Halston skyrockets to fame before his life starts to spin out of control.,2021,['drama'],7.5,14681.0,18.504,7.3,EwanMcGregor BillPullman RebeccaDayan DavidPittu KrystaRodriguez,american fashion designer halston skyrockets to fame before his life starts to spin out of control. ewanmcgregor billpullman rebeccadayan davidpittu krystarodriguez
1381,1381,ts229335,Anxious People,"A failed bank robber locks himself in a home, along with a real estate agent, two IKEA addicts, a pregnant woman, a suicidal millionaire and a rabbit.",2021,"['crime', 'drama', 'comedy']",6.8,3913.0,3.126,6.4,DanEkborg AlfredSvensson CarlaSehn,"a failed bank robber locks himself in a home, along with a real estate agent, two ikea addicts, a pregnant woman, a suicidal millionaire and a rabbit. danekborg alfredsvensson carlasehn"
1382,1382,ts287559,Jupiter's Legacy,"As the world's first generation of superheroes (who received their powers in the 1930s) become the revered elder guard in the present, their superpowered children struggle to live up to the legendary feats of their parents.",2021,"['scifi', 'action', 'drama', 'thriller', 'fantasy']",6.7,37848.0,59.076,7.3,JoshDuhamel BenDaniels LeslieBibb AndrewHorton ElenaKampouris MikeWade MattLanter,"as the world's first generation of superheroes (who received their powers in the 1930s) become the revered elder guard in the present, their superpowered children struggle to live up to the legendary feats of their parents. joshduhamel bendaniels lesliebibb andrewhorton elenakampouris mikewade mattlanter"
1383,1383,ts301625,Hold Tight,"When a young man goes missing soon after his friend dies, life in a tight-knit, affluent Warsaw suburb slowly unravels, exposing secrets and lies.",2022,"['crime', 'drama', 'thriller']",6.1,2288.0,6.901,7.2,MagdalenaBoczarska LeszekLichota KrzysztofOleksyn AgnieszkaGrochowska GrzegorzDamięcki JustynaWasilewska AgataŁabno JacekPoniedziałek WiktoriaGorodeckaja MartaPietka JakubPruski MikolajSliwa,"when a young man goes missing soon after his friend dies, life in a tight-knit, affluent warsaw suburb slowly unravels, exposing secrets and lies. magdalenaboczarska leszeklichota krzysztofoleksyn agnieszkagrochowska grzegorzdamięcki justynawasilewska agatałabno jacekponiedziałek wiktoriagorodeckaja martapietka jakubpruski mikolajsliwa"
1384,1384,ts287438,The Innocent,"An accidental killing leads a man down a dark hole of intrigue and murder. Just as he finds love and freedom, one phone call brings back the nightmare.",2021,"['thriller', 'drama', 'crime']",7.8,29670.0,15.042,7.8,MarioCasas AlexandraJiménez AuraGarrido JoseCoronado MartinaGusman JuanaAcosta GonzalodeCastro AnaWagener MikiEsparbé XaviSáez AnnaAlarcón SusiSánchez AlejandroToroCuenca,"an accidental killing leads a man down a dark hole of intrigue and murder. just as he finds love and freedom, one phone call brings back the nightmare. mariocasas alexandrajiménez auragarrido josecoronado martinagusman juanaacosta gonzalodecastro anawagener mikiesparbé xavisáez annaalarcón susisánchez alejandrotorocuenca"
1385,1385,ts343432,Yakamoz S-245,"After disaster strikes the Earth, a marine biologist on a research mission in a submarine must fight to advance the process into a conspiracy.",2022,"['scifi', 'drama', 'action', 'thriller']",6.1,5789.0,13.009,7.2,KıvançTatlıtuğ ÖzgeÖzpirinçci ErtanSaban MeriçAral JerryHoffmann EceÇeşmioğlu EcemUzun ErsinArıcı AlperSaldıran,"after disaster strikes the earth, a marine biologist on a research mission in a submarine must fight to advance the process into a conspiracy. kıvançtatlıtuğ özgeözpirinçci ertansaban meriçaral jerryhoffmann eceçeşmioğlu ecemuzun ersinarıcı alpersaldıran"
1386,1386,ts287352,Hit & Run,"A happily married man's life is turned upside down when his wife is killed in a mysterious hit-and-run accident in Tel Aviv.  Grief-stricken and confused, he searches for his wife's killers, who have fled to the U.S.  With the help of an ex-lover, he uncovers disturbing truths about his beloved wife and the secrets she kept from him.",2021,"['drama', 'action', 'thriller', 'crime']",7.0,8602.0,20.178,7.5,LiorRaz KaelenOhm MoranRosenblatt TaliSharon GalToren GreggHenry SienaKelly NetaOrbach SanaaLathan,"a happily married man's life is turned upside down when his wife is killed in a mysterious hit-and-run accident in tel aviv.  grief-stricken and confused, he searches for his wife's killers, who have fled to the u.s.  with the help of an ex-lover, he uncovers disturbing truths about his beloved wife and the secrets she kept from him. liorraz kaelenohm moranrosenblatt talisharon galtoren gregghenry sienakelly netaorbach sanaalathan"
1387,1387,ts328605,Midnight at the Pera Palace,"At a historic Istanbul hotel, a journalist is unexpectedly thrust into the past and must stop a plot that could change the fate of modern Turkey.",2022,"['thriller', 'drama', 'history']",7.0,7377.0,5.849,6.9,HazalKaya JamesChalmers SelahattinPaşalı YaseminSzawlowski AhmetKürşatÖçalan,"at a historic istanbul hotel, a journalist is unexpectedly thrust into the past and must stop a plot that could change the fate of modern turkey. hazalkaya jameschalmers selahattinpaşalı yaseminszawlowski ahmetkürşatöçalan"
1388,1388,ts321298,Business Proposal,An ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request.,2022,"['drama', 'romance', 'comedy']",8.1,7806.0,183.465,8.3,AhnHyo-seop KimSe-jeong KimMin-gue SeolIn-a LeeDuck-hwa KimKwang-kyu JungYoung-ju KimHyun-sook SongWon-seok ChoiByung-chan ImGi-hong YunSang-jeong BaeWoo-hee SeoHye-won LeeSoo-jung,an ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request. ahnhyo-seop kimse-jeong kimmin-gue seolin-a leeduck-hwa kimkwang-kyu jungyoung-ju kimhyun-sook songwon-seok choibyung-chan imgi-hong yunsang-jeong baewoo-hee seohye-won leesoo-jung
1389,1389,ts309930,Remarriage & Desires,"Through an exclusive matchmaking agency, women strive to marry a desirable bachelor and into the highest echelon of society.",2022,['drama'],7.2,459.0,56.948,7.667,KimHee-seon LeeHyun-wook JungEu-gene ParkHoon ChaJi-yeon KimYoung-ah KimSa-Kwon BackJoo-hee KimSo-ra NamMyung-ryeol KimYeong-Hoon KimYoon-seo KimSun-kyung KimMi-kyeong JangGwang YoonSuk-hwa LadyJane ChaYup,"through an exclusive matchmaking agency, women strive to marry a desirable bachelor and into the highest echelon of society. kimhee-seon leehyun-wook jungeu-gene parkhoon chaji-yeon kimyoung-ah kimsa-kwon backjoo-hee kimso-ra nammyung-ryeol kimyeong-hoon kimyoon-seo kimsun-kyung kimmi-kyeong janggwang yoonsuk-hwa ladyjane chayup"
1390,1390,ts271888,Fate: The Winx Saga,"The coming-of-age journey of five fairies attending Alfea, a magical boarding school in the Otherworld where they must learn to master their powers while navigating love, rivalries, and the monsters that threaten their very existence.",2021,"['scifi', 'drama', 'fantasy', 'action']",6.8,39519.0,97.114,8.373,AbigailCowen HannahvanderWesthuysen PreciousMustapha ElishaApplebaum EliotSalt DannyGriffin SadieSoverall RobertJames-Collier EveBest TheoGraham AlexMacQueen NiamhCremin,"the coming-of-age journey of five fairies attending alfea, a magical boarding school in the otherworld where they must learn to master their powers while navigating love, rivalries, and the monsters that threaten their very existence. abigailcowen hannahvanderwesthuysen preciousmustapha elishaapplebaum eliotsalt dannygriffin sadiesoverall robertjames-collier evebest theograham alexmacqueen niamhcremin"
1391,1391,ts219423,Masters of the Universe: Revelation,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,2021,"['family', 'fantasy', 'scifi', 'action', 'drama', 'animation', 'comedy']",5.3,26422.0,26.04,6.8,SarahMichelleGellar TiffanySmith LenaHeadey LiamCunningham MarkHamill ChrisWood StephenRoot KevinMichaelRichardson SusanEisenberg,the war for eternia begins again in what may be the final battle between he-man and skeletor. a new animated series from writer-director kevin smith. sarahmichellegellar tiffanysmith lenaheadey liamcunningham markhamill chriswood stephenroot kevinmichaelrichardson susaneisenberg
1392,1392,ts255779,Gabby's Dollhouse,This colorful series leads preschoolers room to room through a fantastical dollhouse of delightful mini-worlds and irresistible kitty characters.,2021,"['animation', 'comedy', 'family', 'fantasy']",7.0,379.0,15.275,9.0,LailaLockhartKraner,this colorful series leads preschoolers room to room through a fantastical dollhouse of delightful mini-worlds and irresistible kitty characters. lailalockhartkraner
1393,1393,ts314164,Tomorrow,"Made half-human and half-spirit by accident, a young man is employed by a company of grim reapers in the underworld to carry out special missions.",2022,"['drama', 'fantasy', 'action', 'comedy']",7.7,8564.0,30.75,8.582,Rowoon KimHee-seon LeeSoo-hyuk MoonSeo-Yoon KimNu-ri KimSi-eun YoonJi-on KimHae-sook KimChae-eun KimSeo-yeon MinJi-a RyuSung-rok YoonYoo-sun,"made half-human and half-spirit by accident, a young man is employed by a company of grim reapers in the underworld to carry out special missions. rowoon kimhee-seon leesoo-hyuk moonseo-yoon kimnu-ri kimsi-eun yoonji-on kimhae-sook kimchae-eun kimseo-yeon minji-a ryusung-rok yoonyoo-sun"
